axis_key,display_name,axis_type,role_families,locale,synonyms,definition,not_definition,rubric_anchor_0,rubric_anchor_5,rubric_anchor_8,rubric_anchor_10,evidence_types,assessment_options,version,status,typical_roles
structuring,Structure,soft_skill,consulting,en,framing|organizing|scoping|outlining,Ability to break an ambiguous problem into clear components and a logical workplan.,Not subject-matter expertise by itself or simply following a memorized framework.,Unstructured; jumps between topics,Clear structure for typical cases,Tailored structures; anticipates edge cases,Creates frameworks; teaches others,competitions|assessments|work|portfolio|social_proof,case_mece_drill|case_outline_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
hypothesis,Hypothesis work,work_style,consulting,en,assumption|premise|theory|conjecture,"Ability to form testable hypotheses and use evidence to confirm, reject, or refine them.",Not guessing without testing or forcing data to fit a preferred conclusion.,No hypotheses; reacts to data only,Forms testable hypotheses in analysis,Runs structured tests; updates quickly,Drives teams with hypothesis trees,competitions|assessments|work|portfolio,hypothesis_tree_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
synthesis,Synthesis,soft_skill,consulting,en,integration|distillation|consolidation|summary,"Ability to combine multiple inputs into a coherent, decision-ready takeaway.",Not listing facts without prioritizing what matters for the decision.,Outputs are fragmented; no takeaway,Summarizes key points clearly,Distills complex work into decisions,Produces executive-grade synthesis,portfolio|work|competitions|social_proof,exec_summary_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
insight,Insight,soft_skill,consulting,en,clarity|understanding|interpretation|perception,Ability to identify the meaning behind data and translate patterns into actionable implications.,Not reporting metrics without explaining 'so what' or 'now what'.,No 'so what'; observations only,Finds useful implications in data,"Generates novel, relevant insights",Consistently shifts strategy with insight,competitions|work|portfolio|assessments,so_what_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
communication,Communication,soft_skill,consulting,en,articulation|clarity|dialogue|messaging,"Ability to convey ideas clearly, concisely, and appropriately to the audience.","Not verbosity, charisma alone, or being agreeable without clarity.",Unclear; causes misunderstandings,Clear in typical team settings,Persuasive across senior audiences,Trusted spokesperson; coaches others,work|social_proof|portfolio|competitions,clarity_rewrite_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
storytelling,Storytelling,soft_skill,consulting,en,narrative|framing|persuasion|pitching,Ability to structure information into a compelling narrative that supports a recommendation.,Not entertainment or style without logical substance.,No narrative; slides feel random,Basic storyline with clear flow,Strong arc; supports decision-making,Memorable narratives that move stakeholders,portfolio|work|competitions,slide_story_arc_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
presentation,Presentation,soft_skill,consulting,en,briefing|pitching|delivery|speaking,Ability to present work confidently and respond to questions with composure and clarity.,Not slide aesthetics or memorized talking points without understanding.,Disorganized delivery; rattled by questions,Clear delivery; handles basic Q&A,Confident under challenge; adapts live,Exceptional presence; commands the room,portfolio|work|competitions|social_proof,live_qna_drill,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
diplomacy,Diplomacy,soft_skill,consulting,en,influence|stakeholder|negotiation|buyin,Ability to understand stakeholder incentives and align them toward a shared outcome.,"Not authority, manipulation, or political maneuvering without ethics.",Misses incentives; creates friction,Manages expectations in typical projects,Aligns conflicting stakeholders,Builds durable coalitions across orgs,work|social_proof|competitions,stakeholder_map_prompt,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
facilitation,Facilitation,soft_skill,consulting,en,moderation|coordination|guiding|orchestration,"Ability to run discussions that produce decisions, next steps, and shared understanding.",Not dominating the room or simply taking notes.,Meetings drift; no outcomes,Keeps meetings on track and productive,Manages conflict; drives decisions,Sets team operating rhythm and norms,work|social_proof|competitions,meeting_facilitation_sim,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
research,Research,hard_skill,consulting,en,investigation|inquiry|scanning|discovery,Ability to gather and validate information from credible sources and synthesize it for use.,Not copying sources uncritically or relying on low-quality information.,Uses unreliable sources; no validation,Finds credible sources; summarizes accurately,Triangulates sources; spots inconsistencies,Produces research others rely on,academic|portfolio|work|competitions,source_quality_quiz,1,active,strategy_consulting_intern|management_consulting_intern|business_analyst_intern
